date,hour,day_of_week,day_name,is_weekend,is_rush_hour,route_name,distance_km,normal_duration_min,current_duration_min,delay_min,traffic_level,traffic_label
2026-01-11,0,6,Sunday,True,False,Third Mainland Bridge,11.8,18,14.5,-3.5,0,None
2026-01-11,0,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,25.6,0.6,1,Light
2026-01-11,0,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,26.8,4.8,1,Light
2026-01-11,0,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,23.6,-6.4,0,None
2026-01-11,0,6,Sunday,True,False,Ikorodu Road,14.0,24,16.9,-7.1,0,None
2026-01-11,0,6,Sunday,True,False,Oshodi Junction,8.5,15,15.1,0.1,1,Light
2026-01-11,0,6,Sunday,True,False,Obalende-CMS,6.2,12,8.4,-3.6,0,None
2026-01-11,0,6,Sunday,True,False,Otedola Bridge,9.0,16,16.4,0.4,1,Light
2026-01-11,0,6,Sunday,True,False,Ajah,10.5,20,14.0,-6.0,0,None
2026-01-11,0,6,Sunday,True,False,Iyana Iba,11.0,19,13.3,-5.7,0,None
2026-01-11,1,6,Sunday,True,False,Third Mainland Bridge,11.8,18,17.5,-0.5,0,None
2026-01-11,1,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,17.9,-7.1,0,None
2026-01-11,1,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,29.1,7.1,2,Moderate
2026-01-11,1,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,21.0,-9.0,0,None
2026-01-11,1,6,Sunday,True,False,Ikorodu Road,14.0,24,16.8,-7.2,0,None
2026-01-11,1,6,Sunday,True,False,Oshodi Junction,8.5,15,16.8,1.8,1,Light
2026-01-11,1,6,Sunday,True,False,Obalende-CMS,6.2,12,8.4,-3.6,0,None
2026-01-11,1,6,Sunday,True,False,Otedola Bridge,9.0,16,19.8,3.8,1,Light
2026-01-11,1,6,Sunday,True,False,Ajah,10.5,20,16.6,-3.4,0,None
2026-01-11,1,6,Sunday,True,False,Iyana Iba,11.0,19,60.9,41.9,4,Severe
2026-01-11,2,6,Sunday,True,False,Third Mainland Bridge,11.8,18,16.4,-1.6,0,None
2026-01-11,2,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,22.7,-2.3,0,None
2026-01-11,2,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,20.1,-1.9,1,Light
2026-01-11,2,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,23.0,-7.0,0,None
2026-01-11,2,6,Sunday,True,False,Ikorodu Road,14.0,24,22.7,-1.3,0,None
2026-01-11,2,6,Sunday,True,False,Oshodi Junction,8.5,15,18.8,3.8,1,Light
2026-01-11,2,6,Sunday,True,False,Obalende-CMS,6.2,12,8.4,-3.6,0,None
2026-01-11,2,6,Sunday,True,False,Otedola Bridge,9.0,16,17.1,1.1,1,Light
2026-01-11,2,6,Sunday,True,False,Ajah,10.5,20,15.9,-4.1,0,None
2026-01-11,2,6,Sunday,True,False,Iyana Iba,11.0,19,13.3,-5.7,0,None
2026-01-11,3,6,Sunday,True,False,Third Mainland Bridge,11.8,18,62.8,44.8,4,Severe
2026-01-11,3,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,27.6,2.6,1,Light
2026-01-11,3,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,22.2,0.2,0,None
2026-01-11,3,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,25.0,-5.0,0,None
2026-01-11,3,6,Sunday,True,False,Ikorodu Road,14.0,24,20.0,-4.0,0,None
2026-01-11,3,6,Sunday,True,False,Oshodi Junction,8.5,15,13.9,-1.1,1,Light
2026-01-11,3,6,Sunday,True,False,Obalende-CMS,6.2,12,8.4,-3.6,1,Light
2026-01-11,3,6,Sunday,True,False,Otedola Bridge,9.0,16,23.8,7.8,2,Moderate
2026-01-11,3,6,Sunday,True,False,Ajah,10.5,20,16.0,-4.0,1,Light
2026-01-11,3,6,Sunday,True,False,Iyana Iba,11.0,19,15.9,-3.1,0,None
2026-01-11,4,6,Sunday,True,False,Third Mainland Bridge,11.8,18,13.6,-4.4,0,None
2026-01-11,4,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,17.5,-7.5,0,None
2026-01-11,4,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,33.6,11.6,2,Moderate
2026-01-11,4,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,21.0,-9.0,0,None
2026-01-11,4,6,Sunday,True,False,Ikorodu Road,14.0,24,16.8,-7.2,0,None
2026-01-11,4,6,Sunday,True,False,Oshodi Junction,8.5,15,11.5,-3.5,1,Light
2026-01-11,4,6,Sunday,True,False,Obalende-CMS,6.2,12,39.5,27.5,4,Severe
2026-01-11,4,6,Sunday,True,False,Otedola Bridge,9.0,16,19.0,3.0,1,Light
2026-01-11,4,6,Sunday,True,False,Ajah,10.5,20,14.2,-5.8,0,None
2026-01-11,4,6,Sunday,True,False,Iyana Iba,11.0,19,18.5,-0.5,0,None
2026-01-11,5,6,Sunday,True,False,Third Mainland Bridge,11.8,18,58.4,40.4,4,Severe
2026-01-11,5,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,78.7,53.7,4,Severe
2026-01-11,5,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,20.9,-1.1,0,None
2026-01-11,5,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,24.6,-5.4,0,None
2026-01-11,5,6,Sunday,True,False,Ikorodu Road,14.0,24,18.1,-5.9,0,None
2026-01-11,5,6,Sunday,True,False,Oshodi Junction,8.5,15,58.1,43.1,4,Severe
2026-01-11,5,6,Sunday,True,False,Obalende-CMS,6.2,12,10.6,-1.4,0,None
2026-01-11,5,6,Sunday,True,False,Otedola Bridge,9.0,16,11.6,-4.4,1,Light
2026-01-11,5,6,Sunday,True,False,Ajah,10.5,20,20.5,0.5,0,None
2026-01-11,5,6,Sunday,True,False,Iyana Iba,11.0,19,16.6,-2.4,1,Light
2026-01-11,6,6,Sunday,True,False,Third Mainland Bridge,11.8,18,12.6,-5.4,0,None
2026-01-11,6,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,17.5,-7.5,0,None
2026-01-11,6,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,92.7,70.7,4,Severe
2026-01-11,6,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,27.3,-2.7,0,None
2026-01-11,6,6,Sunday,True,False,Ikorodu Road,14.0,24,16.8,-7.2,0,None
2026-01-11,6,6,Sunday,True,False,Oshodi Junction,8.5,15,16.4,1.4,1,Light
2026-01-11,6,6,Sunday,True,False,Obalende-CMS,6.2,12,10.1,-1.9,0,None
2026-01-11,6,6,Sunday,True,False,Otedola Bridge,9.0,16,13.4,-2.6,1,Light
2026-01-11,6,6,Sunday,True,False,Ajah,10.5,20,14.0,-6.0,0,None
2026-01-11,6,6,Sunday,True,False,Iyana Iba,11.0,19,17.2,-1.8,1,Light
2026-01-11,7,6,Sunday,True,False,Third Mainland Bridge,11.8,18,58.1,40.1,4,Severe
2026-01-11,7,6,Sunday,True,False,Lekki-Epe Expressway,15.2,25,24.4,-0.6,1,Light
2026-01-11,7,6,Sunday,True,False,Apapa-Oshodi Expressway,12.5,22,23.0,1.0,1,Light
2026-01-11,7,6,Sunday,True,False,Lagos-Ibadan Expressway,18.0,30,26.5,-3.5,0,None
2026-01-11,7,6,Sunday,True,False,Ikorodu Road,14.0,24,22.7,-1.3,0,None
